name,home,away,period,groupName
Ball possession,75%,25%,ALL,Match overview
Expected goals,4.60,0.32,ALL,Match overview
Big chances,9,0,ALL,Match overview
Total shots,35,5,ALL,Match overview
Goalkeeper saves,1,13,ALL,Match overview
Corner kicks,17,0,ALL,Match overview
Fouls,11,6,ALL,Match overview
Passes,664,232,ALL,Match overview
Tackles,19,24,ALL,Match overview
Free kicks,6,11,ALL,Match overview
Yellow cards,2,4,ALL,Match overview
Total shots,35,5,ALL,Shots
Shots on target,16,3,ALL,Shots
Hit woodwork,1,0,ALL,Shots
Shots off target,10,1,ALL,Shots
Blocked shots,9,1,ALL,Shots
Shots inside box,27,5,ALL,Shots
Shots outside box,8,0,ALL,Shots
Big chances scored,3,0,ALL,Attack
Big chances missed,6,0,ALL,Attack
Touches in penalty area,77,11,ALL,Attack
Fouled in final third,2,1,ALL,Attack
Offsides,0,1,ALL,Attack
Accurate passes,592,171,ALL,Passes
Throw-ins,19,16,ALL,Passes
Final third entries,62,18,ALL,Passes
Final third phase,289/340 (85%),23/35 (66%),ALL,Passes
Long balls,17/32 (53%),17/44 (39%),ALL,Passes
Crosses,9/38 (24%),2/4 (50%),ALL,Passes
Duels,53%,47%,ALL,Duels
Dispossessed,14,8,ALL,Duels
Ground duels,43/82 (52%),39/82 (48%),ALL,Duels
Aerial duels,18/33 (55%),15/33 (45%),ALL,Duels
Dribbles,18/28 (64%),4/15 (27%),ALL,Duels
Tackles won,63%,58%,ALL,Defending
Total tackles,19,24,ALL,Defending
Interceptions,4,6,ALL,Defending
Recoveries,46,31,ALL,Defending
Clearances,8,63,ALL,Defending
Errors lead to a shot,0,2,ALL,Defending
Total saves,1,13,ALL,Goalkeeping
Goals prevented,-1.79,1.74,ALL,Goalkeeping
Big saves,0,3,ALL,Goalkeeping
High claims,0,1,ALL,Goalkeeping
Punches,0,3,ALL,Goalkeeping
Goal kicks,3,10,ALL,Goalkeeping
Ball possession,76%,24%,1ST,Match overview
Expected goals,1.30,0.07,1ST,Match overview
Big chances,3,0,1ST,Match overview
Total shots,12,1,1ST,Match overview
Goalkeeper saves,0,3,1ST,Match overview
Corner kicks,6,0,1ST,Match overview
Passes,381,124,1ST,Match overview
Tackles,13,17,1ST,Match overview
Free kicks,4,5,1ST,Match overview
Yellow cards,0,2,1ST,Match overview
Total shots,12,1,1ST,Shots
Shots on target,5,0,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,3,0,1ST,Shots
Blocked shots,4,1,1ST,Shots
Shots inside box,9,1,1ST,Shots
Shots outside box,3,0,1ST,Shots
Big chances scored,2,0,1ST,Attack
Big chances missed,1,0,1ST,Attack
Fouled in final third,2,0,1ST,Attack
Offsides,0,1,1ST,Attack
Accurate passes,348,95,1ST,Passes
Throw-ins,8,9,1ST,Passes
Final third entries,32,7,1ST,Passes
Long balls,9/14 (64%),7/17 (41%),1ST,Passes
Crosses,3/18 (17%),0/1 (0%),1ST,Passes
Duels,49%,51%,1ST,Duels
Dispossessed,10,5,1ST,Duels
Ground duels,26/52 (50%),26/52 (50%),1ST,Duels
Aerial duels,7/15 (47%),8/15 (53%),1ST,Duels
Dribbles,9/16 (56%),4/12 (33%),1ST,Duels
Tackles won,54%,59%,1ST,Defending
Total tackles,13,17,1ST,Defending
Interceptions,3,3,1ST,Defending
Recoveries,25,16,1ST,Defending
Clearances,2,37,1ST,Defending
Total saves,0,3,1ST,Goalkeeping
Goal kicks,0,3,1ST,Goalkeeping
Ball possession,73%,27%,2ND,Match overview
Expected goals,3.30,0.26,2ND,Match overview
Big chances,6,0,2ND,Match overview
Total shots,23,4,2ND,Match overview
Goalkeeper saves,1,10,2ND,Match overview
Corner kicks,11,0,2ND,Match overview
Passes,283,108,2ND,Match overview
Tackles,6,7,2ND,Match overview
Free kicks,2,6,2ND,Match overview
Yellow cards,2,2,2ND,Match overview
Total shots,23,4,2ND,Shots
Shots on target,11,3,2ND,Shots
Hit woodwork,1,0,2ND,Shots
Shots off target,7,1,2ND,Shots
Blocked shots,5,0,2ND,Shots
Shots inside box,18,4,2ND,Shots
Shots outside box,5,0,2ND,Shots
Big chances scored,1,0,2ND,Attack
Big chances missed,5,0,2ND,Attack
Fouled in final third,0,1,2ND,Attack
Offsides,0,0,2ND,Attack
Accurate passes,244,76,2ND,Passes
Throw-ins,11,7,2ND,Passes
Final third entries,30,11,2ND,Passes
Long balls,8/18 (44%),10/27 (37%),2ND,Passes
Crosses,6/20 (30%),2/3 (67%),2ND,Passes
Duels,58%,42%,2ND,Duels
Dispossessed,4,3,2ND,Duels
Ground duels,17/30 (57%),13/30 (43%),2ND,Duels
Aerial duels,11/18 (61%),7/18 (39%),2ND,Duels
Dribbles,9/12 (75%),0/3 (0%),2ND,Duels
Tackles won,83%,57%,2ND,Defending
Total tackles,6,7,2ND,Defending
Interceptions,1,3,2ND,Defending
Recoveries,21,15,2ND,Defending
Clearances,6,26,2ND,Defending
Total saves,1,10,2ND,Goalkeeping
Goal kicks,3,7,2ND,Goalkeeping
