x,y
14,9
13,4
35,37
28,36
31,38
47,52
30,73
26,37
37,37
38,32
33,44
33,27
32,33
56,25
40,26
43,35
43,35
54,85
16,5
36,27
38,27
43,22
33,16
41,35
40,100
38,96
49,100
44,84
36,89
12,53
79,82
79,95
75,94
75,94
48,76
43,80
66,94
64,95
44,91
66,73
63,84
61,89
74,91
75,57
53,77
69,85
69,90
68,76
67,75
35,90
41,74
58,75
36,72
78,83
45,56
54,40
61,92
83,71
31,59
31,83
44,84
39,81
54,66
35,85
23,100
12,66
26,86
11,75
15,93
15,94
25,90
15,75
33,75
67,75
88,100
83,95
82,95
14,89
47,74
56,71
31,69
58,77
61,90
39,88
36,78
49,71
5,75
35,81
54,86
59,78
65,85
65,85
